word_ru,definition_ru,word_uz,definition_uz
ПРОЕКТИРОВАНИЕ,"",DIZAYN,""
ПРОЕКТНАЯ ПРОРАБОТКА,"",DIZAYNNI,""
ПРОЕКТНО-СМЕТНЫЕ РАБОТЫ,"",Loyihalash,""
ПРОЕКТНО-ПЛАНИРОВОЧНЫЕ РАБОТЫ,"",LOYIHALASH,""
БИСЕКСУАЛ,"",BISEKSUAL,""
ФОНТАН,"",FAVVORLAR,""
ПАСПОРТНАЯ СЛУЖБА,"",PASPORT,""
ПРОЕКТНО-ТЕХНОЛОГИЧЕСКИЕ РАБОТЫ,"",LOYIHALASH,""
БАК,"",TANK,""
ЛЕПЕШКА,"",KEK,""
ПАСПОРТНО-ВИЗОВОЕ ОБЕСПЕЧЕНИЕ,"",PASPORT,""
ПРОЕКТНЫЕ РАБОТЫ,"",DIZAYN,""
ФОНТАННАЯ СТРУЯ,"",FOUNTAIN,""
ХАРАКТЕРНОЕ СВОЙСТВО,"",XARAKTERISTIK,""
ОТЛИЧИТЕЛЬНОЕ СВОЙСТВО,"",XUSUSIYATLARINI,""
ГОРЮЧИЕ И СМАЗОЧНЫЕ МАТЕРИАЛЫ,"",YONGILGAN,""
ВЫПЬ,"",achchiq,""
МАКИЯЖ,"",GRIM,""
ХАСАВЮРТ,"",KHASAVIURT,""
ПОЛЬЗОВАНИЕ,"",FOYDALANISH,""
ВЫЕМКА,"",NOTCH,""
УПОТРЕБЛЕНИЕ,"",FOYDALANISH,""
НАНЕСЕНИЕ МАКИЯЖА,"",MAKYAJ,""
ИСПОЛЬЗОВАНИЕ,"",FOYDALANISH,""
ОНКОГЕМОТАЛОГИЯ,"",ONKOGEMOTALOGIYA,""
МЕДВЕЖОНОЧЕК,"",AYIQ,""
МЕДВЕЖОНОК,"",AYIQ,""
ЛЕПЕШКА ИЗ ТЕСТА,"",XAMIR,""
ВРЕДНЫЙ ТРУД,"",ZARARLI,""
ВРЕДНЫЙ ПРОИЗВОДСТВЕННЫЙ ФАКТОР,"",ZARARLI,""
ВРЕДНАЯ РАБОТА,"",ZARARLI,""
БЕЗ ВЗИМАНИЯ ТАМОЖЕННОЙ ПОШЛИНЫ,"",BOJHONA,""
ПРОИЗВОДСТВЕННАЯ ВРЕДНОСТЬ,"",MEHNAT,""
ВРЕДНЫЕ УСЛОВИЯ,"",ZARARLI,""
ПРОЕКТНАЯ РАЗРАБОТКА,"",LOYIHANI,""
ЗАРЯД ЭЛЕКТРИЧЕСТВА,"",ELEKTR,""
ВРЕДНОСТЬ НА ПРОИЗВОДСТВЕ,"",ISHLAB,""
ПРОЕКТНЫЕ ИССЛЕДОВАНИЯ,"",DIZAYN,""
ПРОФЕССИОНАЛЬНАЯ ВРЕДНОСТЬ,"",ISHLAB,""
ВСЕСИЛИЕ,"",hamma,""
НЕВОЗМУТИМОСТЬ,"",TENGLIK,""
ВСЕМОГУЩЕСТВО,"",HAMMA,""
ВИЛОК,"",vilkalar,""
КАПУСТНЫЙ КОЧАН,"",KARAM,""
КАПУСТКА,"",KARAM,""
ВСЕСИЛЬНОСТЬ,"",hamma,""
КОЧАН,"",COCHAN,""
АВТОМОБИЛИСТКА,"",MOTORIST,""
АВТОМОБИЛИСТ,"",MOTORIST,""
АВТОВОДИТЕЛЬ,"",AVTO,""
ВОДИТЕЛЬ АВТОМОБИЛЯ,"",AVTO,""
ПИЩЕВАЯ ЦЕННОСТЬ,"",OZIQAT,""
ПИТАТЕЛЬНАЯ ЦЕННОСТЬ,"",OZIQAT,""
ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ,"",ENERGIYA,""
ПРЕЗУМПЦИЯ НЕВИНОВНОСТИ,"",AYBsizlik,""
ОСВОБОЖДЕНИЕ ОТ УПЛАТЫ ТАМОЖЕННЫХ ПЛАТЕЖЕЙ,"",BOJJA,""
ОСВОБОЖДЕНИЕ ОТ ТАМОЖЕННЫХ ПОШЛИН,"",BOJJA,""
ОСВОБОЖДЕНИЕ ОТ ОБЛОЖЕНИЯ ТАМОЖЕННОЙ ПОШЛИНОЙ,"",BOJJA,""
НЕБЛАГОПРИЯТНЫЕ УСЛОВИЯ ТРУДА,"",Noqulay,""
ОСВОБОЖДЕНИЕ ОТ УПЛАТЫ ТАМОЖЕННЫХ ПОШЛИН,"",BOJJA,""
ВРЕДНЫЕ УСЛОВИЯ ТРУДА,"",ZARARLI,""
ВОДИТЕЛЬ АВТОТРАНСПОРТА,"",AVTO,""
БУМ,"",BOOM,""
ДЕЗИНФЕКЦИЯ,"",DEZINFEKTSION,""
ОБЕЗЗАРАЖИВАНИЕ,"",DEZINFEKTSION,""
ДЕЗИНФИЦИРОВАНИЕ,"",DEZINFEKTSION,""
КОРРИДА,"",KORRIDALAR,""
БИТУМ,"",BITUM,""
НЕФТЕБИТУМ,"",MOG,""
ДЕМЬЯНКА,"",DEMYANKA,""
УПАКОВЩИЦА,"",PACKER,""
УПАКОВЩИК,"",PACKER,""
ЭСТРАГОН,"",TARRAGON,""
ТАРХУН,"",TARHUN,""
МОРСКОЙ ШЕЛЬФ,"",DENGIZ,""
ПРИБРЕЖНЫЙ ШЕЛЬФ,"",SOYIQ,""
БУМ В СФЕРЕ,"",SFERADAGI,""
КОНТИНЕНТАЛЬНЫЙ ШЕЛЬФ,"",KONTINENTAL,""
ШЕЛЬФ,"",RAF,""
ЗОЛОТОНОСНАЯ РУДА,"",Oltin,""
КОРЕННОЕ ЗОЛОТО,"",MILLIY,""
РУДНОЕ ЗОЛОТО,"",OLTIN,""
ЗОЛОТОСОДЕРЖАЩАЯ РУДА,"",Oltin,""
БУМ В ОБЛАСТИ,"",HUDUDDA,""
БОЙ БЫКОВ,"",BUQALAR,""
КОЧАН КАПУСТЫ,"",KARAM,""
ВИЛОК КАПУСТЫ,"",KARAM,""
ЦЕННОСТЬ ПИЩИ,"",OZIQ-OVQAT,""
СОДЕРЖАНИЕ ПОЛЕЗНЫХ ВЕЩЕСТВ,"",OZOQ,""
ЗОЛОТАЯ РУДА,"",Oltin,""
АНАТОМИЧЕСКОЕ СТРОЕНИЕ,"",ANATOMIK,""
МУЗЫКАЛЬНАЯ ПАРТИЯ,"",MUSIQALI,""
ПОВЕРХНОСТНАЯ ОБРАБОТКА,"",Yuzaki,""
ОБРАБОТКА ПОВЕРХНОСТИ,"",Yuzaki,""
МИЛЛИОН,"",MILLION,""
ЖЕЛОНЬ,"",ZHELONI,""
БУРЫЙ УГОЛЬ,"",QO‘NGIR,""
РАМАДАН,"",RAMAZON,""
СПЛАВЛЕНИЕ,"",FUSION,""
РАМАЗАН,"",RAMAZON,""
АНТИКОНКУРЕНТНАЯ ПРАКТИКА,"",RABOBOTGA,""
ТРИКОТАЖ,"",Trikotaj,""
ВОДОЛАЗНЫЕ РАБОТЫ,"",Sho'ng'in,""
ТРИКОТАЖНЫЙ МАТЕРИАЛ,"",Trikotaj,""
ЧЕШСКИЙ ЯЗЫК,"",CHEX,""
СКВЕРНОСЛОВИЕ,"",KUZATIB,""
МЕСЯЦ МУСУЛЬМАНСКОГО ПОСТА,"",MUSULMON,""
ТИПОГРАФСКАЯ ЛИТЕРА,"",XAT,""
ХВОСТ ВОЛОС,"",QUYIM,""
ТРИКОТАЖНАЯ ТКАНЬ,"",Trikotaj,""
ТРИКОТАЖНОЕ ПОЛОТНО,"",Trikotaj,""
БУМАЖНАЯ КАЛЬКА,"",Qog'ozni,""
МАТЕРИКОВАЯ ОТМЕЛЬ,"",MATERIK,""
СТРОЕНИЕ ОРГАНИЗМА,"",TANA,""
АНТИКОНКУРЕНТНЫЕ ДЕЙСТВИЯ,"",RABOBOTGA,""
ЗАЛИВ ИНДИЙСКОГО ОКЕАНА,"",HIND,""
СЪЕМЩИЦА,"",Ijaraga,""
ПРИЧЕСКА ХВОСТ,"",SOCH,""
САНИТАРНО-ДЕЗИНФЕКЦИОННЫЕ МЕРОПРИЯТИЯ,"",SANITARYA,""
ОГРАНИЧЕНИЕ КОНКУРЕНЦИИ,"",Raqobatni,""
СБОРЫ В ДОРОГУ,"",YO'LGA,""
СЪЕМЩИК,"",Ijarachi,""
АННУЛЯЦИЯ,"",BEKOR,""
АННУЛИРОВАНИЕ,"",BEKOR,""
ПРИЧИСЛЕНИЕ,"",BUXGALOT,""
ПРИПИСЫВАНИЕ,"",ATRIBUTION,""
ПРИПИСКА,"",POSTPOST,""
ПЕРЕРАСХОДОВАНИЕ,"",ORTA,""
ПЕРЕРАСХОД,"",ORTA,""
ВОДОСБРОС,"",TO'KILGAN,""
ПРОВЕДЕНИЕ РАБОТ,"",ISHNI,""
ЗАБЛУЖДЕНИЕ,"",ANGLISH,""
РАКЕТНОЕ ОРУЖИЕ,"",RAKETA,""
РАКЕТНЫЕ ВООРУЖЕНИЯ,"",RAKETA,""
БАСРА,"",BASRA,""
АБЕРРАЦИЯ,"",ABERRASİYA,""
ЛОЖНОЕ МНЕНИЕ,"",YOLG'ON,""
СТАМБУЛ,"",ISTANBUL,""
РАССУЖДЕНИЕ,"",MUHABBAT,""
ЯКОРЬ,"",ANCHOR,""
КОРАБЕЛЬНЫЙ ЯКОРЬ,"",KEMA,""
УТРАТА СИЛЫ,"",Quvvatni,""
ФИТОСАНИТАРНОЕ МЕРОПРИЯТИЕ,"",FITOSANITAR,""
СУДОВОЙ ЯКОРЬ,"",KEMA,""
МЯТА,"",MINT,""
ПРИВЕДЕНИЕ,"",KISARISH,""
ПРИВЕДЕНИЕ В СОСТОЯНИЕ,"",HOZIRGA,""
ОСТРОВ ЭЛЬБА,"",ELBA,""
УЧРЕЖДЕНИЕ ОБРАЗОВАНИЯ,"",TA'LIM,""
ЛИМФАТИЧЕСКАЯ СИСТЕМА,"",LIMFAT,""
ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ,"",TA'LIM,""
ОБРАЗОВАТЕЛЬНОЕ ОБЪЕДИНЕНИЕ,"",TA'LIM,""
УЧЕБНОЕ ЗАВЕДЕНИЕ,"",TA'LIM,""
ВОДОСБРОС ПЛОТИНЫ,"",TO'G'ON,""
ПРОИЗВОДСТВО РАБОТ,"",ISHLARNI,""
АРЕНДАТОР ПОМЕЩЕНИЯ,"",BIRLARNI,""
ФИТОСАНИТАРНЫЕ МЕРЫ,"",FITOSANITARIY,""
ПРОИЗВЕДЕНИЕ РАБОТ,"",ISHLARNI,""
ОСУЩЕСТВЛЕНИЕ РАБОТ,"",ISHLARNING,""
ВЫПОЛНЕНИЕ РАБОТ,"",ISHLARNI,""
СЪЕМЩИК ПОМЕЩЕНИЯ,"",BIRLARNI,""
ВЕДЕНИЕ РАБОТ,"",ISHLARNI,""
ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ,"",TA'LIM,""
РАЗРАВНИВАНИЕ,"",TAVSIYaLASH,""
УЧЕБНО-ВОСПИТАТЕЛЬНОЕ УЧРЕЖДЕНИЕ,"",TA'LIM,""
ВЕТХИЙ ДОМ,"",KISHAYGAN,""
АВАРИЙНЫЙ ДОМ,"",Favqulodda,""
УЧЕБНОЕ УЧРЕЖДЕНИЕ,"",TA'LIM,""
УЗНАВАЕМОСТЬ,"",TANISH,""
КОМЕНДАНТСКИЙ ЧАС,"",CURFEW,""
СИМФЕРОПОЛЬ,"",SIMFEROPOL,""
ШТУРМОВОЕ ВОЗДУШНОЕ СУДНО,"",HUJUM,""
"ДОМ, ПОДЛЕЖАЩИЙ СНОСУ","",BUZILISh,""
АВАРИЙНОЕ СТРОЕНИЕ,"",Favqulodda,""
ИНДЕКСНЫЙ ПОКАЗАТЕЛЬ,"",INDEKS,""
ЧЕРНОГОЛОВКА,"",CHERNOGOLOVKA,""
АБЕРРАЦИЯ СОЗНАНИЯ,"",ONGLINING,""
БЕЗАВАРИЙНОСТЬ,"",AVLOQOTSIZ,""
УЧРЕЖДЕНИЕ НАРОДНОГО ОБРАЗОВАНИЯ,"",XALQ,""
САНИТАРНЫЕ И ФИТОСАНИТАРНЫЕ МЕРЫ,"",SANITARA,""
АРМАВИР,"",ARMAVIR,""
ЗНАЧЕНИЕ ИНДЕКСА,"",INDEX,""
СПЛАВ ПО РЕКАМ,"",DARYO,""
УЧЕБНАЯ ОРГАНИЗАЦИЯ,"",TA'LIM,""
АВАРИЙНОЕ ЗДАНИЕ,"",Favqulodda,""
ПОКАЗАТЕЛЬ ИНДЕКСА,"",INDEKS,""
ХОЗЯЙСТВУЮЩИЙ ОБЪЕКТ,"",IQTISODIY,""
ДУБИНА,"",KLUB,""
ХОЗЯЙСТВЕННЫЙ ОБЪЕКТ,"",IQTISODIY,""
ДУБИНКА,"",KLUB,""
ДЕЙСТВУЮЩЕЕ ПРЕДПРИЯТИЕ,"",HOZIRGI,""
ЙОХАННЕСБУРГ,"",YOHANESBURG,""
ГОСПИТАЛИЗАЦИЯ,"",Kasalxonaga,""
ХИМИКО-ФОТОГРАФИЧЕСКАЯ ПРОДУКЦИЯ,"",KIMYOVIY-FOTOGRAFIK,""
СРЕДИЗЕМНОЕ МОРЕ,"",O'RTA,""
РЫНОЧНЫЙ БУМ,"",BOZOR,""
ШАРОВАРЫ,"",SHIMLAR,""
ЗЕЛЕНОВАТЫЙ ЦВЕТ,"",Yashil,""
ЗЕЛЕНЫЙ ЦВЕТ,"",YASHIL,""
ВОЖАК СТАИ,"",PAKET,""
ОБЪЕКТ ХОЗЯЙСТВА,"",ferma,""
ВОЖАК В СТАЕ,"",PAKETDAGI,""
"ЗДАНИЕ, ПОДЛЕЖАЩЕЕ СНОСУ","",BUZATILGAN,""
БЕЗАВАРИЙНАЯ ЭКСПЛУАТАЦИЯ,"",Baxtsiz,""
ПЕЧЕНЕГ,"",PECHENEG,""
ФЕРЗЬ,"",MAROLIKA,""
ЦИАН,"",SİANOGEN,""
ЦИАНИД,"",SİANID,""
БРОНЕТЕХНИКА,"",BRORLI,""
БУМ РЫНКА,"",BOZOR,""
БУМ НА РЫНКЕ,"",BOZORDA,""
ОПЕРАЦИЯ,"",FOYDALANISH,""
СТРОЙИНДУСТРИЯ,"",QURILISH,""
БЛАГОСОСТОЯНИЕ,"",Farovonlik,""
СТРОИТЕЛЬНАЯ ПРОМЫШЛЕННОСТЬ,"",QURILISH,""
ДОСТАВКА В БОЛЬНИЦУ,"",Shifoxonaga,""
СТРОИТЕЛЬНАЯ ИНДУСТРИЯ,"",QURILISH,""
ИНДУСТРИАЛЬНОЕ ДОМОСТРОЕНИЕ,"",SANOAT,""
ТИПОВОЕ СТРОИТЕЛЬСТВО,"",TIPIK,""
ВОЕННЫЙ КОМИССАРИАТ,"",HARBIY,""
БОГОЧЕЛОВЕК,"",XUDO,""
БРОНЕТАНКОВАЯ ТЕХНИКА,"",BRORLI,""
БРОНЕТАНКОВЫЕ ВООРУЖЕНИЯ,"",zirhli,""
ВОЕНКОМАТ,"",Harbiy,""
ЭКОНОМИЧЕСКОЕ БЛАГОСОСТОЯНИЕ,"",IQTISODIY,""
БРАЗИЛЕЦ,"",BRAZILYA,""
БРАЗИЛЬЯНКА,"",BRAZILYA,""
ИНДУСТРИАЛЬНОЕ СТРОИТЕЛЬСТВО,"",SANOAT,""
ФИНАНСОВЫЙ ИСТОЧНИК,"",MOLIYA,""
МЕСТО ТЕЧИ,"",YOQISH,""
СПЛАВ ПО ГОРНЫМ РЕКАМ,"",TOG'LI,""
БЛАГОСОСТОЯНИЕ ЭКОНОМИКИ,"",IQTISODIYOT,""
ФОТОХИМИЧЕСКИЕ ТОВАРЫ,"",FOTOKIMYOVIY,""
ТОВАРЫ ФОТОХИМИЧЕСКИЕ,"",FOTOKIMYOVIY,""
СНОШЕНИЕ,"",YORISHMALAR,""
ОБЩЕНИЕ,"",ALOQA,""
ИСТОЧНИК ФИНАНСИРОВАНИЯ,"",Moliyalashtirish,""
ЛИЧНЫЙ КОНТАКТ,"",SHAXSIY,""
МЕЖЛИЧНОСТНОЕ ОБЩЕНИЕ,"",SHAXSlararo,""
ПРОЦЕСС КОММУНИКАЦИИ,"",ALOQA,""
МЕЖЛИЧНОСТНАЯ КОММУНИКАЦИЯ,"",SHAXSlararo,""
КОММУНИКАТИВНЫЙ ПРОЦЕСС,"",ALOQA,""
ПРОФСПОРТ,"",PROFSPORT,""
ПРОФЕССИОНАЛЬНЫЙ СПОРТ,"",PROFESSIONAL,""
ПЛАТАН,"",CHINAR,""
ВСТУПЛЕНИЕ НА ПРЕСТОЛ,"",TAHTGA,""
ВОЦАРЕНИЕ,"",KIRISh,""
ВОСШЕСТВИЕ НА ПРЕСТОЛ,"",TAHTGA,""
ХЬЮСТОН,"",XYUSTON,""
ПРОЦЕСС ОБЩЕНИЯ,"",ALOQA,""
ЛИЧНОЕ ОБЩЕНИЕ,"",SHAXSIY,""
ЗАПОЛНЯЕМОСТЬ,"",MAG'UL,""
НАПОЛНЯЕМОСТЬ,"",SAKLIYAT,""
ПРАЗДНИЧНЫЙ ТУАЛЕТ,"",BAYRAM,""
ПРАЗДНИЧНЫЙ НАРЯД,"",BAYRAM,""
НАРЯДНЫЙ ТУАЛЕТ,"",Hojatxonani,""
НАРЯДНАЯ ОДЕЖДА,"",Aqlli,""
МЕЖЛИЧНОСТНЫЕ КОНТАКТЫ,"",SHAXSlararo,""
ИСТОЧНИК АССИГНОВАНИЙ,"",O'ZGA,""
ПРОЦЕДУРНАЯ ПРОВОЛОЧКА,"",PROSEDURAL,""
ФИНАНСОВЫЕ РАСХОДЫ,"",MOLIYAVIY,""
КАНАЛ ФИНАНСИРОВАНИЯ,"",MOBILYA,""
ИСТОЧНИК СРЕДСТВ,"",Mablag'lar,""
КОНТАКТЫ ЛЮДЕЙ,"",ODAMLAR,""
ФИНАНСОВЫЕ ИЗДЕРЖКИ,"",MOLIYAVIY,""
ФИНАНСОВЫЕ ЗАТРАТЫ,"",MOLIYAVIY,""
ЗА СЧЕТ СРЕДСТВ,"",Mablag'lar,""
ДИПЛОМАТИЧЕСКИЕ ОТНОШЕНИЯ,"",DIPLOMATIK,""
ЛОВКОСТЬ,"",EChQILIK,""
ДИПОТНОШЕНИЯ,"",DIPLOPAL,""
ГОРОД ЛОСИНО-ПЕТРОВСКИЙ,"",LOSINO-PETROVSKY,""
АВИАБОМБА,"",AIRBOM,""
ДИПЛОМАТИЧЕСКИЙ КАНАЛ,"",DIPLOMATİK,""
ПЕРВООСНОВАТЕЛЬ,"",ASOSCHI,""
ОСНОВАТЕЛЬНИЦА,"",ASOSCHI,""
ОСНОВАТЕЛЬ,"",ASOSCHI,""
АВИАЦИОННАЯ БОМБА,"",SAVOL,""
ПОСЕЛЕНЕЦ,"",SETTLER,""
ПОСЕЛЕНКА,"",QISLOQ,""
ДИПЛОМАТИЧЕСКИЕ СНОШЕНИЯ,"",DIPLOMATIK,""
ТЕЛЕАКАДЕМИЯ,"",TV,""
ДИПЛОМАТИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,"",DIPLOMATIK,""
ДУХИ,"",PARFUM,""
ВОР В ЗАКОНЕ,"",QONUNDAGI,""
ПЕНИЕ,"",KUYLASH,""
ЛОСИНО-ПЕТРОВСКИЙ МОСКОВСКОЙ ОБЛАСТИ,"",LOSIN-PETROVSKY,""
АГЕНТУРНАЯ РАБОТА,"",AGENTLIK,""
ПТИЧЬЕ ПЕНИЕ,"",QUSHLAR,""
ПЕНИЕ ПТИЦЫ,"",QUSHLAR,""
АРХИТЕКТУРНЫЙ СВОД,"",Arxitektura,""
ЛОВКОСТЬ ДВИЖЕНИЙ,"",HARAKAT,""
СВОДЧАТОЕ ПЕРЕКРЫТИЕ,"",QO'LLANGAN,""
ПОКАЗАТЕЛЬ ЗАПОЛНЕНИЯ,"",TUGLASH,""
ДИПЛОМАТИЧЕСКИЕ КОНТАКТЫ,"",DIPLOMATIK,""
АФГАНСКИЕ ПАРТИЗАНЫ,"",AFG'ON,""
ДИПЛОМАТИЧЕСКИЕ СВЯЗИ,"",DIPLOMATIK,""
ДУШМАНЫ,"",DUSHMANS,""
АКАДЕМИЯ ТЕЛЕВИДЕНИЯ,"",TELEVIZION,""
ПАРТИЗАНЫ В АФГАНИСТАНЕ,"",AFG'ONISTONDAGI,""
АГЕНТУРНАЯ СВЯЗЬ,"",AGENTLIK,""
СПАСАНИЕ,"",QATQAT,""
ПАТРИОТИЗМ,"",VATANSEVARLIK,""
ЛИШАЙ,"",LICHEN,""
ПАТРИОТИЧНОСТЬ,"",VATANSEVARLIK,""
КУТАИСИ,"",KUTAISI,""
ЛИШАЙНИК,"",LICHEN,""
ЛЮБОВЬ К СВОЕЙ СТРАНЕ,"",VATANINGIZGA,""
ПАТРИОТИЧЕСКИЕ ЦЕННОСТИ,"",VATANSEVARLIK,""
РАССЛЕДОВАНИЕ,"",TEST,""
СВЕТЛЯК,"",FIREFLY,""
СВЕТЛЯЧОК,"",gulxan,""
БОТКУЛЬ,"",BOTKUL,""
ЭСКАЛАТОР,"",ESKALATOR,""
ДЕЛЕГАТ,"",DELEGAT,""
ДЕЛЕГАТКА,"",DELEGAT,""
РАЗВЕДЫВАТЕЛЬНЫЙ СПУТНИК,"",TANISH,""
ШПИОНСКИЙ СПУТНИК,"",SPY,""
ПЕРИМЕТР,"",PERIMETER,""
ЗАМКНУТАЯ ГРАНИЦА,"",YOPIQ,""
ОДЕССКАЯ ОБЛАСТЬ,"",ODESSA,""
СОВЕДУЩИЙ,"",CO-HOST,""
ПЕРИМЕТР ТЕРРИТОРИИ,"",HUDUD,""
ЛОСИНО-ПЕТРОВСКИЙ В МОСКОВСКОЙ ОБЛАСТИ,"",MOSKVA,""
РАССЛЕДОВАНИЕ ДЕЛА,"",ISHLAB,""
ВЕДУЩИЙ МЕРОПРИЯТИЯ,"",TADBIR,""
ТЕПЛОУСТОЙЧИВОСТЬ,"",ISIQLIKGA,""
РЕГУЛЯЦИОННОЕ ГИДРОТЕХНИЧЕСКОЕ СООРУЖЕНИЕ,"",REGULATIV,""
ТЕПЛОСТОЙКОСТЬ,"",ISIQLIKGA,""
АЗЕРБАЙДЖАНСКИЙ ГОРОД,"",Ozarbayjon,""
ПРЕМИЯ ЗА ХОРОШУЮ РАБОТУ,"",YAXSHI,""
ПРЕМИЯ ПО ИТОГАМ РАБОТЫ,"",FOYDALANISH,""
ГОСУДАРСТВО ПАЛЕСТИНА,"",FALASTIN,""
ПАЛЕСТИНА,"",FALESTIN,""
УСТОЙЧИВОСТЬ К ТЕПЛУ,"",ISIQLIKGA,""
ПАЛЕСТИНСКОЕ ГОСУДАРСТВО,"",FALESTIN,""
ПАПАША,"",DAD,""
ПЕРИМЕТР ГРАНИЦ,"",CHEGARLAR,""
СВОД КРЫШИ,"",ROOF,""
ВЕДУЩИЙ ПРОГРАММЫ,"",DASTUR,""
МЕЛЬКАНИЕ МЫСЛЕЙ,"",O'ZBEKISTON,""
РЕГУЛЯЦИОННОЕ СООРУЖЕНИЕ,"",NORMATTORIY,""
ПЕСНИ ПТИЦ,"",QUSHLAR,""
ПАЛЕСТИНСКАЯ АВТОНОМИЯ,"",FALESTIN,""
ЦЕННОСТИ ПАТРИОТИЗМА,"",VATANSEVARLIK,""
СВОД ЗДАНИЯ,"",QURILISH,""
ЧУВСТВО ПАТРИОТИЗМА,"",VATANSEVARLIK,""
БАТЯ,"",DADA,""
НАВАРИВАНИЕ,"",PAYVANDARISH,""
ПРИВАРКА,"",PAYVANDARISH,""
ПЛАЩЕВКА,"",KABINET,""
НАВАРКА,"",NAVARKA,""
ТЕПЛОНОСИТЕЛЬ,"",SOVUTUVCHI,""
ПРИВАРИВАНИЕ,"",PAYVANDARISH,""
МАНАТ,"",MANAT,""
АЗЕРБАЙДЖАНСКИЙ МАНАТ,"",AZARBAYJON,""
НЕПРОСТИТЕЛЬНОСТЬ,"",KECHIRILMAZLIK,""
ГРУБОСТЬ,"",QO'G'OLLIK,""
ОБОРУДОВАННАЯ ПЛОЩАДКА,"",JOZLANGAN,""
КАФЕДРА,"",BO'LIM,""
ПЛАЩЕВАЯ ТКАНЬ,"",PLAT,""
ПРОДАЖА СО СКИДКОЙ,"",CHEGIRMA,""
СКИДОЧНАЯ АКЦИЯ,"",CHEGIRMA,""
ДИСКОНТНАЯ ТОРГОВЛЯ,"",CHEGIRMA,""
СПЕЦИАЛЬНО ОБОРУДОВАННАЯ ПЛОЩАДКА,"",MAXSUS,""
МИНСК,"",MINSK,""
БЕЛОРУССКАЯ СТОЛИЦА,"",BELARUSIYA,""
ИНСТИТУТСКАЯ КАФЕДРА,"",INSTITUT,""
СТОЛИЦА БЕЛОРУССИИ,"",BELARUS,""
ДИВИДЕНД,"",DIVIDEND,""
ДИВИДЕНДНЫЙ ДОХОД,"",DIVIDENDLARDAN,""
ЗЕМЛЕУСТРОЙСТВО,"",YERLARNI,""
ДЕКЛАРАЦИЯ СО СВЕДЕНИЯМИ,"",MA'LUMOT,""
УСТОЙЧИВОСТЬ К ВЫСОКИМ ТЕМПЕРАТУРАМ,"",YUQORI,""
ВУЗОВСКАЯ КАФЕДРА,"",UNIVERSITET,""
КАФЕДРА В ВУЗЕ,"",UNIVERSITETDA,""
ПОЛУФИНАЛИСТ,"",YARIMI,""
ПОЛУФИНАЛИСТКА,"",YARIMI,""
ПОЛУПРАВДА,"",YARIM,""
БУСИНКА,"",BEAD,""
ЗЕМЛЕУСТРОИТЕЛЬНОЕ ДЕЛО,"",YERLARNI,""
БУСИНА,"",BEAD,""
ВАНДАЛИЗМ,"",VANDALİZM,""
ПОСЛЕДНИЙ СРОК,"",TOPSHIRISH,""
ОКОНЧАТЕЛЬНЫЙ СРОК,"",Yakuniy,""
КРАЙНИЙ СРОК,"",TOPSHIRISH,""
ДЕДЛАЙН,"",TOPSHIRISH,""
ГРУППА,"",GURUH,""
ПОДГРУППА,"",QO'SHIMCHA,""
ЦИФЕРБЛАТ ЧАСОВ,"",SOAT,""
ГОРОД АЗЕРБАЙДЖАНА,"",AZARBAYJON,""
ДИВИДЕНД ПО АКЦИЯМ,"",AKSIYALAR,""
ПАЛЕСТИНСКИЕ ТЕРРИТОРИИ,"",FALESTIN,""
НЕИМЕНИЕ,"",EGA,""
СОВОКУПНОСТЬ ЛЮДЕЙ,"",ODAMLAR,""
ТРОПИЧЕСКИЕ ФРУКТЫ,"",TROPIK,""
НЕИМЕНИЕ ИМУЩЕСТВА,"",MULK,""
ОТСУТСТВИЕ ИМУЩЕСТВА,"",MULK,""
КОНФЛИКТ ИНТЕРЕСОВ,"",MANFATLAR,""
КАФЕДРА ФАКУЛЬТЕТА,"",FAKULTET,""
НАДЕЖНОСТЬ ЧЕЛОВЕКА,"",INSON,""
УЧАСТНИЦА ПОЛУФИНАЛА,"",YARIMI,""
УЧАСТНИК ПОЛУФИНАЛА,"",YARIMI,""
ЗЕМЛЕУСТРОИТЕЛЬНЫЕ РАБОТЫ,"",ER,""
ЗВУК ШАГОВ,"",QADAMLAR,""
КАФЕДРА ВУЗА,"",UNIVERSITET,""
КАФЕДРА ИНСТИТУТА,"",INSTITUT,""
СОЦИОЛОГИЧЕСКИЙ ОПРОС НАСЕЛЕНИЯ,"",AHOLINI,""
СОЦОПРОС,"",IJTIMOIY,""
СОЦИОЛОГИЧЕСКИЙ ОПРОС,"",IJTIMOIY,""
МАССОВЫЙ ОПРОС,"",Ommaviy,""
ЖУК,"",BUG,""
ОПРОСНЫЙ МЕТОД,"",SO'ROQ,""
ТРУДОВОЙ ПРОЦЕСС,"",MEHNAT,""
ОПРОС ГРАЖДАН,"",FUQAROLAR,""
ТРУДОВАЯ ДЕЯТЕЛЬНОСТЬ,"",MEHNAT,""
ОПРОС НАСЕЛЕНИЯ,"",AHOLI,""
ТРУДОВАЯ СФЕРА,"",MEHNAT,""
ЛАКОНИЗМ,"",LAKONIZM,""
